Entity,Code,Day,total_boosters_per_hundred
Albania,ALB,2021-12-15,3.95
Albania,ALB,2021-12-18,4.29
Albania,ALB,2021-12-21,4.54
Albania,ALB,2021-12-23,4.74
Albania,ALB,2021-12-28,5.01
Albania,ALB,2022-01-04,5.26
Albania,ALB,2022-01-05,5.35
Albania,ALB,2022-01-08,5.67
Albania,ALB,2022-01-10,5.8
Albania,ALB,2022-01-11,5.89
Albania,ALB,2022-01-30,7.04
Albania,ALB,2022-02-01,7.15
Albania,ALB,2022-02-06,7.38
Albania,ALB,2022-02-07,7.44
Albania,ALB,2022-02-13,7.7
Albania,ALB,2022-02-14,7.74
Albania,ALB,2022-02-15,7.79
Albania,ALB,2022-02-16,7.84
Albania,ALB,2022-02-20,7.98
Albania,ALB,2022-02-27,8.24
Albania,ALB,2022-03-01,8.32
Albania,ALB,2022-03-07,8.55
Albania,ALB,2022-03-10,8.65
Albania,ALB,2022-03-14,8.74
Albania,ALB,2022-03-15,8.78
Albania,ALB,2022-03-24,9.05
Albania,ALB,2022-03-29,9.21
Albania,ALB,2022-03-31,9.29
Albania,ALB,2022-04-04,9.42
Albania,ALB,2022-04-07,9.58
Albania,ALB,2022-04-11,9.71
Albania,ALB,2022-04-14,9.83
Albania,ALB,2022-04-20,9.97
Albania,ALB,2022-04-26,10.11
Algeria,DZA,2021-11-21,0.03
Algeria,DZA,2021-11-25,0.05
Algeria,DZA,2021-11-29,0.06
Algeria,DZA,2022-02-17,0.84
Algeria,DZA,2022-02-24,0.96
Algeria,DZA,2022-03-04,0.98
Algeria,DZA,2022-03-09,1.1
Algeria,DZA,2022-04-24,1.15
Algeria,DZA,2022-05-01,1.15
Andorra,AND,2021-12-12,11.03
Andorra,AND,2021-12-26,11.34
Andorra,AND,2022-01-16,31.97
Andorra,AND,2022-03-13,52.76
Andorra,AND,2022-03-27,52.96
Andorra,AND,2022-04-10,53.06
Andorra,AND,2022-04-24,53.24
Angola,AGO,2022-02-17,0.41
Angola,AGO,2022-03-04,0.67
Angola,AGO,2022-03-10,0.76
Angola,AGO,2022-03-24,0.87
Angola,AGO,2022-03-25,0.9
Angola,AGO,2022-04-01,0.98
Angola,AGO,2022-04-26,1.09
Anguilla,AIA,2021-11-29,4.38
Anguilla,AIA,2021-12-01,4.38
Anguilla,AIA,2021-12-08,6.49
Anguilla,AIA,2022-01-14,10.62
Anguilla,AIA,2022-01-21,11.61
Anguilla,AIA,2022-01-28,12.69
Anguilla,AIA,2022-02-02,13.55
Anguilla,AIA,2022-02-09,14.2
Anguilla,AIA,2022-02-16,14.97
Anguilla,AIA,2022-03-02,15.8
Anguilla,AIA,2022-03-09,15.99
Anguilla,AIA,2022-03-18,16.46
Anguilla,AIA,2022-03-23,16.65
Anguilla,AIA,2022-04-08,17.39
Anguilla,AIA,2022-05-06,18.16
Argentina,ARG,2020-12-29,0
Argentina,ARG,2020-12-30,0
Argentina,ARG,2020-12-31,0
Argentina,ARG,2021-01-01,0
Argentina,ARG,2021-01-02,0
Argentina,ARG,2021-01-03,0
Argentina,ARG,2021-01-04,0
Argentina,ARG,2021-01-05,0
Argentina,ARG,2021-01-06,0
Argentina,ARG,2021-01-07,0
Argentina,ARG,2021-01-08,0
Argentina,ARG,2021-01-09,0
Argentina,ARG,2021-01-10,0
Argentina,ARG,2021-01-11,0
Argentina,ARG,2021-01-12,0
Argentina,ARG,2021-01-13,0
Argentina,ARG,2021-01-14,0
Argentina,ARG,2021-01-15,0
Argentina,ARG,2021-01-16,0
Argentina,ARG,2021-01-17,0
Argentina,ARG,2021-01-18,0
Argentina,ARG,2021-01-19,0
Argentina,ARG,2021-01-20,0
Argentina,ARG,2021-01-21,0
Argentina,ARG,2021-01-22,0
Argentina,ARG,2021-01-23,0
Argentina,ARG,2021-01-24,0
Argentina,ARG,2021-01-25,0
Argentina,ARG,2021-01-26,0
Argentina,ARG,2021-01-27,0
Argentina,ARG,2021-01-28,0
Argentina,ARG,2021-01-29,0
Argentina,ARG,2021-01-30,0
Argentina,ARG,2021-01-31,0
Argentina,ARG,2021-02-01,0
Argentina,ARG,2021-02-02,0
Argentina,ARG,2021-02-03,0
Argentina,ARG,2021-02-04,0
Argentina,ARG,2021-02-05,0
Argentina,ARG,2021-02-06,0
Argentina,ARG,2021-02-07,0
Argentina,ARG,2021-02-08,0
Argentina,ARG,2021-02-09,0
Argentina,ARG,2021-02-10,0
Argentina,ARG,2021-02-11,0
Argentina,ARG,2021-02-12,0
Argentina,ARG,2021-02-13,0
Argentina,ARG,2021-02-14,0
Argentina,ARG,2021-02-15,0
Argentina,ARG,2021-02-16,0
Argentina,ARG,2021-02-17,0
Argentina,ARG,2021-02-18,0
Argentina,ARG,2021-02-19,0
Argentina,ARG,2021-02-20,0
Argentina,ARG,2021-02-21,0
Argentina,ARG,2021-02-22,0
Argentina,ARG,2021-02-23,0
Argentina,ARG,2021-02-24,0
Argentina,ARG,2021-02-25,0
Argentina,ARG,2021-02-26,0
Argentina,ARG,2021-02-27,0
Argentina,ARG,2021-02-28,0
Argentina,ARG,2021-03-01,0
Argentina,ARG,2021-03-02,0
Argentina,ARG,2021-03-03,0
Argentina,ARG,2021-03-04,0
Argentina,ARG,2021-03-05,0
Argentina,ARG,2021-03-06,0
Argentina,ARG,2021-03-07,0
Argentina,ARG,2021-03-08,0
Argentina,ARG,2021-03-09,0
Argentina,ARG,2021-03-10,0
Argentina,ARG,2021-03-11,0
Argentina,ARG,2021-03-12,0
Argentina,ARG,2021-03-13,0
Argentina,ARG,2021-03-14,0
Argentina,ARG,2021-03-15,0
Argentina,ARG,2021-03-16,0
Argentina,ARG,2021-03-17,0
Argentina,ARG,2021-03-18,0
Argentina,ARG,2021-03-19,0
Argentina,ARG,2021-03-20,0
Argentina,ARG,2021-03-21,0
Argentina,ARG,2021-03-22,0
Argentina,ARG,2021-03-23,0
Argentina,ARG,2021-03-24,0
Argentina,ARG,2021-03-25,0
Argentina,ARG,2021-03-26,0
Argentina,ARG,2021-03-27,0
Argentina,ARG,2021-03-28,0
Argentina,ARG,2021-03-29,0
Argentina,ARG,2021-03-30,0
Argentina,ARG,2021-03-31,0
Argentina,ARG,2021-04-01,0
Argentina,ARG,2021-04-02,0
Argentina,ARG,2021-04-03,0
Argentina,ARG,2021-04-04,0
Argentina,ARG,2021-04-05,0
Argentina,ARG,2021-04-06,0
Argentina,ARG,2021-04-07,0
Argentina,ARG,2021-04-08,0
Argentina,ARG,2021-04-09,0
Argentina,ARG,2021-04-10,0
Argentina,ARG,2021-04-11,0
Argentina,ARG,2021-04-12,0
Argentina,ARG,2021-04-13,0
Argentina,ARG,2021-04-14,0
Argentina,ARG,2021-04-15,0
Argentina,ARG,2021-04-16,0
Argentina,ARG,2021-04-17,0
Argentina,ARG,2021-04-18,0
Argentina,ARG,2021-04-19,0
Argentina,ARG,2021-04-20,0
Argentina,ARG,2021-04-21,0
Argentina,ARG,2021-04-22,0
Argentina,ARG,2021-04-23,0
Argentina,ARG,2021-04-24,0
Argentina,ARG,2021-04-25,0
Argentina,ARG,2021-04-26,0
Argentina,ARG,2021-04-27,0
Argentina,ARG,2021-04-28,0
Argentina,ARG,2021-04-29,0
Argentina,ARG,2021-04-30,0
Argentina,ARG,2021-05-01,0
Argentina,ARG,2021-05-02,0
Argentina,ARG,2021-05-03,0
Argentina,ARG,2021-05-04,0
Argentina,ARG,2021-05-05,0
Argentina,ARG,2021-05-06,0
Argentina,ARG,2021-05-07,0
Argentina,ARG,2021-05-08,0
Argentina,ARG,2021-05-09,0
Argentina,ARG,2021-05-10,0
Argentina,ARG,2021-05-11,0
Argentina,ARG,2021-05-12,0
Argentina,ARG,2021-05-13,0
Argentina,ARG,2021-05-14,0
Argentina,ARG,2021-05-15,0
Argentina,ARG,2021-05-16,0
Argentina,ARG,2021-05-17,0
Argentina,ARG,2021-05-18,0
Argentina,ARG,2021-05-19,0
Argentina,ARG,2021-05-20,0
Argentina,ARG,2021-05-21,0
Argentina,ARG,2021-05-22,0
Argentina,ARG,2021-05-23,0
Argentina,ARG,2021-05-24,0
Argentina,ARG,2021-05-25,0
Argentina,ARG,2021-05-26,0
Argentina,ARG,2021-05-27,0
Argentina,ARG,2021-05-28,0
Argentina,ARG,2021-05-29,0
Argentina,ARG,2021-05-30,0
Argentina,ARG,2021-05-31,0
Argentina,ARG,2021-06-01,0
Argentina,ARG,2021-06-02,0
Argentina,ARG,2021-06-03,0
Argentina,ARG,2021-06-04,0
Argentina,ARG,2021-06-05,0
Argentina,ARG,2021-06-06,0
Argentina,ARG,2021-06-07,0
Argentina,ARG,2021-06-08,0
Argentina,ARG,2021-06-09,0
Argentina,ARG,2021-06-10,0
Argentina,ARG,2021-06-11,0
Argentina,ARG,2021-06-12,0
Argentina,ARG,2021-06-13,0
Argentina,ARG,2021-06-14,0
Argentina,ARG,2021-06-15,0
Argentina,ARG,2021-06-16,0
Argentina,ARG,2021-06-17,0
Argentina,ARG,2021-06-18,0
Argentina,ARG,2021-06-19,0
Argentina,ARG,2021-06-20,0
Argentina,ARG,2021-06-21,0
Argentina,ARG,2021-06-22,0
Argentina,ARG,2021-06-23,0
Argentina,ARG,2021-06-24,0
Argentina,ARG,2021-06-25,0
Argentina,ARG,2021-06-26,0
Argentina,ARG,2021-06-27,0
Argentina,ARG,2021-06-28,0
Argentina,ARG,2021-06-29,0
Argentina,ARG,2021-06-30,0
Argentina,ARG,2021-07-01,0
Argentina,ARG,2021-07-02,0
Argentina,ARG,2021-07-03,0
Argentina,ARG,2021-07-04,0
Argentina,ARG,2021-07-05,0
Argentina,ARG,2021-07-06,0
Argentina,ARG,2021-07-07,0
Argentina,ARG,2021-07-08,0
Argentina,ARG,2021-07-09,0
Argentina,ARG,2021-07-10,0
Argentina,ARG,2021-07-11,0
Argentina,ARG,2021-07-12,0
Argentina,ARG,2021-07-13,0
Argentina,ARG,2021-07-14,0
Argentina,ARG,2021-07-15,0
Argentina,ARG,2021-07-16,0
Argentina,ARG,2021-07-17,0
Argentina,ARG,2021-07-18,0
Argentina,ARG,2021-07-19,0
Argentina,ARG,2021-07-20,0
Argentina,ARG,2021-07-21,0
Argentina,ARG,2021-07-22,0
Argentina,ARG,2021-07-23,0
Argentina,ARG,2021-07-24,0
Argentina,ARG,2021-07-25,0
Argentina,ARG,2021-07-26,0
Argentina,ARG,2021-07-27,0
Argentina,ARG,2021-07-28,0
Argentina,ARG,2021-07-29,0
Argentina,ARG,2021-07-30,0
Argentina,ARG,2021-07-31,0
Argentina,ARG,2021-08-01,0
Argentina,ARG,2021-08-02,0
Argentina,ARG,2021-08-03,0
Argentina,ARG,2021-08-04,0
Argentina,ARG,2021-08-05,0
Argentina,ARG,2021-08-06,0
Argentina,ARG,2021-08-07,0
Argentina,ARG,2021-08-08,0
Argentina,ARG,2021-08-09,0
Argentina,ARG,2021-08-10,0
Argentina,ARG,2021-08-11,0
Argentina,ARG,2021-08-12,0
Argentina,ARG,2021-08-13,0
Argentina,ARG,2021-08-14,0
Argentina,ARG,2021-08-15,0
Argentina,ARG,2021-08-16,0
Argentina,ARG,2021-08-17,0
Argentina,ARG,2021-08-18,0
Argentina,ARG,2021-08-19,0
Argentina,ARG,2021-08-20,0
Argentina,ARG,2021-08-21,0
Argentina,ARG,2021-08-22,0
Argentina,ARG,2021-08-23,0
Argentina,ARG,2021-08-24,0
Argentina,ARG,2021-08-25,0
Argentina,ARG,2021-08-26,0
Argentina,ARG,2021-08-27,0
Argentina,ARG,2021-08-28,0
Argentina,ARG,2021-08-29,0
Argentina,ARG,2021-08-30,0
Argentina,ARG,2021-08-31,0
Argentina,ARG,2021-09-01,0
Argentina,ARG,2021-09-02,0
Argentina,ARG,2021-09-03,0
Argentina,ARG,2021-09-04,0
Argentina,ARG,2021-09-05,0
Argentina,ARG,2021-09-06,0
Argentina,ARG,2021-09-07,0
Argentina,ARG,2021-09-08,0
Argentina,ARG,2021-09-09,0
Argentina,ARG,2021-09-10,0
Argentina,ARG,2021-09-11,0
Argentina,ARG,2021-09-12,0
Argentina,ARG,2021-09-13,0
Argentina,ARG,2021-09-14,0
Argentina,ARG,2021-09-15,0
Argentina,ARG,2021-09-16,0
Argentina,ARG,2021-09-17,0
Argentina,ARG,2021-09-18,0
Argentina,ARG,2021-09-19,0
Argentina,ARG,2021-09-20,0
Argentina,ARG,2021-09-21,0
Argentina,ARG,2021-09-22,0
Argentina,ARG,2021-09-23,0
Argentina,ARG,2021-09-24,0
Argentina,ARG,2021-09-25,0
Argentina,ARG,2021-09-26,0
Argentina,ARG,2021-09-27,0
Argentina,ARG,2021-09-28,0
Argentina,ARG,2021-09-29,0
Argentina,ARG,2021-09-30,0
Argentina,ARG,2021-10-01,0
Argentina,ARG,2021-10-02,0
Argentina,ARG,2021-10-03,0
Argentina,ARG,2021-10-04,0
Argentina,ARG,2021-10-05,0
Argentina,ARG,2021-10-06,0
Argentina,ARG,2021-10-07,0
Argentina,ARG,2021-10-08,0
Argentina,ARG,2021-10-09,0
Argentina,ARG,2021-10-10,0
Argentina,ARG,2021-10-11,0
Argentina,ARG,2021-10-12,0
Argentina,ARG,2021-10-13,0
Argentina,ARG,2021-10-14,0
Argentina,ARG,2021-10-15,0.01
Argentina,ARG,2021-10-16,0.01
Argentina,ARG,2021-10-17,0.01
Argentina,ARG,2021-10-18,0.01
Argentina,ARG,2021-10-19,0.01
Argentina,ARG,2021-10-20,0.01
Argentina,ARG,2021-10-21,0.01
Argentina,ARG,2021-10-22,0.01
Argentina,ARG,2021-10-23,0.01
Argentina,ARG,2021-10-24,0.01
Argentina,ARG,2021-10-25,0.01
Argentina,ARG,2021-10-26,0.01
Argentina,ARG,2021-10-27,0.01
Argentina,ARG,2021-10-28,0.03
Argentina,ARG,2021-10-29,0.08
Argentina,ARG,2021-10-30,0.12
Argentina,ARG,2021-10-31,0.14
Argentina,ARG,2021-11-01,0.22
Argentina,ARG,2021-11-02,0.32
Argentina,ARG,2021-11-03,0.43
Argentina,ARG,2021-11-04,0.52
Argentina,ARG,2021-11-05,0.64
Argentina,ARG,2021-11-06,0.69
Argentina,ARG,2021-11-07,0.72
Argentina,ARG,2021-11-08,0.82
Argentina,ARG,2021-11-09,0.96
Argentina,ARG,2021-11-10,1.3
Argentina,ARG,2021-11-11,1.68
Argentina,ARG,2021-11-12,2.01
Argentina,ARG,2021-11-13,2.21
Argentina,ARG,2021-11-14,2.22
Argentina,ARG,2021-11-15,2.4
Argentina,ARG,2021-11-16,2.59
Argentina,ARG,2021-11-17,2.79
Argentina,ARG,2021-11-18,2.98
Argentina,ARG,2021-11-19,3.17
Argentina,ARG,2021-11-20,3.28
Argentina,ARG,2021-11-21,3.33
Argentina,ARG,2021-11-22,3.39
Argentina,ARG,2021-11-23,3.57
Argentina,ARG,2021-11-24,3.76
Argentina,ARG,2021-11-25,3.96
Argentina,ARG,2021-11-26,4.18
Argentina,ARG,2021-11-27,4.29
Argentina,ARG,2021-11-28,4.34
Argentina,ARG,2021-11-29,4.59
Argentina,ARG,2021-11-30,4.86
Argentina,ARG,2021-12-01,5.22
Argentina,ARG,2021-12-02,5.55
Argentina,ARG,2021-12-03,5.79
Argentina,ARG,2021-12-04,5.94
Argentina,ARG,2021-12-05,6.01
Argentina,ARG,2021-12-06,6.22
Argentina,ARG,2021-12-07,6.44
Argentina,ARG,2021-12-08,6.56
Argentina,ARG,2021-12-09,6.82
Argentina,ARG,2021-12-10,7.11
Argentina,ARG,2021-12-11,7.25
Argentina,ARG,2021-12-12,7.36
Argentina,ARG,2021-12-13,7.69
Argentina,ARG,2021-12-14,8.01
Argentina,ARG,2021-12-15,8.47
Argentina,ARG,2021-12-16,8.89
Argentina,ARG,2021-12-17,9.29
Argentina,ARG,2021-12-18,9.46
Argentina,ARG,2021-12-19,9.57
Argentina,ARG,2021-12-20,9.99
Argentina,ARG,2021-12-21,10.37
Argentina,ARG,2021-12-22,10.7
Argentina,ARG,2021-12-23,10.94
Argentina,ARG,2021-12-24,10.96
Argentina,ARG,2021-12-25,10.96
Argentina,ARG,2021-12-26,11.01
Argentina,ARG,2021-12-27,11.5
Argentina,ARG,2021-12-28,12.2
Argentina,ARG,2021-12-29,12.86
Argentina,ARG,2021-12-30,13.44
Argentina,ARG,2021-12-31,13.48
Argentina,ARG,2022-01-01,13.49
Argentina,ARG,2022-01-02,13.64
Argentina,ARG,2022-01-03,14.34
Argentina,ARG,2022-01-04,15.13
Argentina,ARG,2022-01-05,15.87
Argentina,ARG,2022-01-06,16.62
Argentina,ARG,2022-01-07,17.4
Argentina,ARG,2022-01-08,17.8
Argentina,ARG,2022-01-09,18.05
Argentina,ARG,2022-01-10,18.8
Argentina,ARG,2022-01-11,19.55
Argentina,ARG,2022-01-12,20.3
Argentina,ARG,2022-01-13,21.01
Argentina,ARG,2022-01-14,21.67
Argentina,ARG,2022-01-15,21.98
Argentina,ARG,2022-01-16,22.21
Argentina,ARG,2022-01-17,22.86
Argentina,ARG,2022-01-18,23.5
Argentina,ARG,2022-01-19,24.1
Argentina,ARG,2022-01-20,24.7
Argentina,ARG,2022-01-21,25.28
Argentina,ARG,2022-01-22,25.57
Argentina,ARG,2022-01-23,25.77
Argentina,ARG,2022-01-24,26.34
Argentina,ARG,2022-01-25,26.87
Argentina,ARG,2022-01-26,27.4
Argentina,ARG,2022-01-27,27.92
Argentina,ARG,2022-01-28,28.45
Argentina,ARG,2022-01-29,28.7
Argentina,ARG,2022-01-30,28.86
Argentina,ARG,2022-01-31,29.42
Argentina,ARG,2022-02-01,29.95
Argentina,ARG,2022-02-02,30.44
Argentina,ARG,2022-02-03,30.86
Argentina,ARG,2022-02-04,31.36
Argentina,ARG,2022-02-05,31.59
Argentina,ARG,2022-02-06,31.74
Argentina,ARG,2022-02-07,32.16
Argentina,ARG,2022-02-08,32.55
Argentina,ARG,2022-02-09,33.02
Argentina,ARG,2022-02-10,33.41
Argentina,ARG,2022-02-11,33.78
Argentina,ARG,2022-02-12,33.98
Argentina,ARG,2022-02-13,34.11
Argentina,ARG,2022-02-14,34.44
Argentina,ARG,2022-02-15,34.75
Argentina,ARG,2022-02-16,35.06
Argentina,ARG,2022-02-17,35.36
Argentina,ARG,2022-02-18,35.66
Argentina,ARG,2022-02-19,35.8
Argentina,ARG,2022-02-20,35.9
Argentina,ARG,2022-02-21,36.18
Argentina,ARG,2022-02-22,36.46
Argentina,ARG,2022-02-23,36.75
Argentina,ARG,2022-02-24,36.99
Argentina,ARG,2022-02-25,37.29
Argentina,ARG,2022-02-26,37.4
Argentina,ARG,2022-02-27,37.46
Argentina,ARG,2022-02-28,37.52
Argentina,ARG,2022-03-01,37.59
Argentina,ARG,2022-03-02,37.79
Argentina,ARG,2022-03-03,37.98
Argentina,ARG,2022-03-04,38.17
Argentina,ARG,2022-03-05,38.26
Argentina,ARG,2022-03-06,38.37
Argentina,ARG,2022-03-07,38.62
Argentina,ARG,2022-03-08,38.8
Argentina,ARG,2022-03-09,39
Argentina,ARG,2022-03-10,39.19
Argentina,ARG,2022-03-11,39.39
Argentina,ARG,2022-03-12,39.49
Argentina,ARG,2022-03-13,39.54
Argentina,ARG,2022-03-14,39.71
Argentina,ARG,2022-03-15,39.92
Argentina,ARG,2022-03-16,40.12
Argentina,ARG,2022-03-17,40.31
Argentina,ARG,2022-03-18,40.52
Argentina,ARG,2022-03-19,40.64
Argentina,ARG,2022-03-20,40.7
Argentina,ARG,2022-03-21,40.91
Argentina,ARG,2022-03-22,41.09
Argentina,ARG,2022-03-23,41.29
Argentina,ARG,2022-03-24,41.34
Argentina,ARG,2022-03-25,41.53
Argentina,ARG,2022-03-26,41.62
Argentina,ARG,2022-03-27,41.66
Argentina,ARG,2022-03-28,41.85
Argentina,ARG,2022-03-29,42.01
Argentina,ARG,2022-03-30,42.18
Argentina,ARG,2022-03-31,42.35
Argentina,ARG,2022-04-01,42.5
Argentina,ARG,2022-04-02,42.54
Argentina,ARG,2022-04-03,42.57
Argentina,ARG,2022-04-04,42.7
Argentina,ARG,2022-04-05,42.82
Argentina,ARG,2022-04-06,42.92
Argentina,ARG,2022-04-07,43.03
Argentina,ARG,2022-04-08,43.14
Argentina,ARG,2022-04-09,43.19
Argentina,ARG,2022-04-10,43.21
Argentina,ARG,2022-04-11,43.32
Argentina,ARG,2022-04-12,43.43
Argentina,ARG,2022-04-13,43.55
Argentina,ARG,2022-04-14,43.59
Argentina,ARG,2022-04-15,43.61
Argentina,ARG,2022-04-16,43.65
Argentina,ARG,2022-04-17,43.66
Argentina,ARG,2022-04-18,43.83
Argentina,ARG,2022-04-19,44.01
Argentina,ARG,2022-04-20,44.2
Argentina,ARG,2022-04-21,44.38
Argentina,ARG,2022-04-22,44.58
